Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/10B	19.1c	7560	127	0.02	1280.0	0.06	0.08	0.53	2.060	1.2	0.20	1.1	1155000	12000	1093000	11000	-5
ABA/21	1.1r	420	116	0.28	60.6	0.17	0.07	0.89	1.72	1.9	0.17	1.7	999000	16000	1048000	18000	5
ABA/21	1.2r	2958	33	0.01	213.0	0.77	0.06	1.30	0.68	1.7	0.08	1.2	515000	5800	575000	28000	10
ABA/21	2.1r	7916	100	0.01	623.0	0.01	0.06	0.31	0.73	1.1	0.09	1.0	565000	5600	517000	6900	-9
ABA/21	3.1r	3368	30	0.01	236.0	0.01	0.06	0.48	0.65	1.2	0.08	1.1	506000	5400	505000	10000	0
ABA/21	4.1r	4244	108	0.03	290.0	0.28	0.06	0.56	0.64	1.2	0.08	1.1	492000	5200	536000	12000	8
ABA/21	4.2c	342	71	0.21	46.1	1.11	0.08	2.10	1.67	2.4	0.16	1.1	931000	9900	1143000	41000	19
ABA/21	5.1r	3735	316	0.09	263.0	2.77	0.06	1.70	0.64	2.1	0.08	1.1	494000	5200	534000	38000	8
ABA/21	5.2r	11249	69	0.01	845.0	0.01	0.06	0.24	0.70	1.1	0.09	1.1	540000	5800	530000	5300	-2
ABA/21	6.1r	6782	96	0.01	488.0	0.10	0.06	0.38	0.67	1.1	0.08	1.0	519000	5200	539000	8200	4
ABA/21	6.2r	2578	18	0.01	196.0	0.82	0.06	1.30	0.70	1.7	0.09	1.1	543000	5500	527000	29000	-3
ABA/21	7.1r	8056	36	0.00	649.0	0.01	0.06	0.25	0.75	1.1	0.09	1.0	578000	5800	541000	5400	-7
ABA/21	8.1r	2216	131	0.06	163.0	0.41	0.06	0.86	0.68	1.4	0.09	1.1	527000	5800	524000	19000	-1
ABA/21	8.2rc	139	96	0.71	18.6	0.96	0.08	2.30	1.69	2.7	0.15	1.3	928000	12000	1174000	45000	21
ABA/21	9.1r	495	126	0.26	78.1	0.07	0.08	0.63	1.91	1.4	0.18	1.3	1086000	13000	1080000	13000	-1
ABA/21	10.1r	7787	167	0.02	625.0	0.08	0.06	0.48	0.75	1.1	0.09	1.0	575000	5700	538000	11000	-7
ABA/21	10.2r	15815	237	0.02	1320.0		0.06	0.20	0.78	0.1	0.10	1.0	599000	5900	529000	4400	-13
ABA/21	11.1r	2206	76	0.04	172.0	0.71	0.06	1.40	0.72	1.8	0.09	1.1	556000	6000	542000	30000	-3
ABA/21	12.1r	4912	66	0.01	388.0	0.00	0.06	0.30	0.73	1.1	0.09	1.0	566000	5700	523000	6700	-8
ABA/21	13.1r	4604	17	0.00	367.0	0.01	0.06	0.32	0.74	1.1	0.09	1.0	572000	5700	524000	7100	-9
ABA/21	14.1r	7768	232	0.03	626.0	0.01	0.06	0.23	0.75	1.1	0.09	1.0	578000	5700	524000	5000	-10
ABA/21	15.1r	4253	73	0.02	330.0	0.19	0.06	0.52	0.72	1.2	0.09	1.0	556000	5600	521000	11000	-7
